Character,Weapon,Solo Win Rate,Solo Pick Rate,Solo Player Kill,Solo Average Rank,Duo Win Rate,Duo Pick Rate,Duo Player Kill,Duo Average Rank,Squad Win Rate,Squad Pick Rate,Squad Player Kill,Squad Average Rank
Base Win Rate,,5.6%,2.9%,0.9,9.5,11.1%,2.9%,1.0,4.9,16.6%,2.9%,1.0,3.2
Adriana,Throw,3.7%,1.3%,0.9,9.5,10.9%,1.7%,0.8,4.8,16.9%,2.4%,0.7,3.3
Aya,Pistol,5.5%,2.7%,1.0,10.5,10.7%,2.2%,0.9,4.9,16.3%,2.5%,1.2,3.1
Aya,Assault Rifle,8.4%,1.4%,0.8,9.0,12.2%,1.0%,0.8,4.9,16.1%,1.0%,0.8,3.2
Aya,Sniper,4.8%,3.9%,1.2,10.0,10.5%,4.2%,1.1,4.9,16.9%,5.1%,1.2,3.2
Chiara,Rapier,5.3%,4.0%,0.9,9.2,10.9%,3.6%,0.9,4.8,15.7%,3.4%,0.9,3.3
Emma,Shuriken,6.3%,3.2%,0.8,9.4,12.4%,3.3%,0.9,4.8,16.7%,2.9%,0.8,3.2
Fiora,Rapier,5.5%,2.8%,0.9,9.7,10.7%,2.0%,1.0,4.8,15.5%,1.3%,1.0,3.2
Fiora,Spear,5.9%,2.2%,0.9,9.1,10.1%,1.8%,1.1,4.9,15.8%,1.2%,1.1,3.3
Fiora,Two-Handed Sword,6.4%,0.8%,0.9,9.1,12.1%,0.5%,1.1,4.7,17.1%,0.5%,1.2,3.2
Hart,Guitar,5.1%,3.0%,1.0,10.6,12.2%,2.2%,1.1,4.9,16.6%,2.3%,1.1,3.3
Hyejin,Bow,4.6%,2.7%,0.9,9.9,10.7%,3.1%,0.8,4.9,16.4%,3.7%,0.8,3.3
Hyejin,Shuriken,5.4%,0.3%,0.8,9.3,13.7%,0.5%,1.0,4.8,18.2%,0.5%,0.8,3.3
Hyunwoo,Tonfa,7.0%,1.4%,0.9,8.6,11.7%,1.9%,0.9,4.7,17.5%,2.7%,0.8,3.3
Hyunwoo,Glove,7.1%,3.8%,0.9,8.6,11.1%,4.7%,0.9,4.8,14.8%,4.0%,0.8,3.3
Isol,Assault Rifle,5.5%,1.9%,1.0,9.3,11.0%,3.6%,1.2,4.8,15.6%,3.3%,1.2,3.2
Isol,Pistol,7.6%,1.4%,0.9,8.8,12.9%,1.9%,1.1,4.5,17.4%,2.1%,1.0,3.1
Jackie,Axe,4.4%,1.9%,0.9,8.9,9.3%,1.8%,1.0,4.8,14.4%,1.8%,1.1,3.3
Jackie,Two-Handed Sword,6.8%,0.7%,0.7,8.3,11.1%,0.5%,0.9,4.8,15.7%,0.4%,0.9,3.2
Jackie,Dual Sword,5.3%,4.8%,0.8,9.4,8.6%,4.1%,0.9,5.0,14.3%,3.4%,0.9,3.3
Jackie,Dagger,7.2%,3.5%,0.8,8.7,10.0%,2.0%,0.9,4.8,15.8%,1.7%,1.1,3.0
Lenox,Whip,5.0%,2.7%,0.9,9.4,11.7%,6.2%,0.9,4.9,17.2%,6.8%,0.9,3.3
Li Dailin,Glove,4.8%,3.5%,0.9,8.8,10.1%,3.4%,1.0,4.8,16.4%,3.2%,1.1,3.2
Li Dailin,Nunchaku,4.2%,3.0%,1.0,9.3,11.2%,3.5%,1.2,4.8,17.6%,3.0%,1.2,3.3
Magnus,Bat,6.7%,0.8%,0.9,7.7,11.2%,0.8%,0.9,4.6,16.9%,0.9%,0.9,3.2
Magnus,Hammer,6.2%,1.9%,0.9,8.5,11.2%,2.5%,0.9,4.8,17.5%,3.7%,0.8,3.2
Nadine,Bow,7.0%,2.1%,0.9,10.1,11.8%,2.4%,1.0,4.9,18.5%,3.0%,1.1,3.2
Nadine,Crossbow,6.2%,1.5%,1.0,9.9,11.2%,1.1%,1.1,4.8,14.4%,0.8%,1.0,3.2
Rozzi,Pistol,4.8%,7.6%,1.0,10.4,10.7%,7.3%,1.2,5.0,16.1%,5.9%,1.2,3.3
Shoichi,Dagger,4.7%,6.3%,1.1,9.8,12.3%,4.3%,1.2,4.8,17.4%,3.7%,1.3,3.2
Silvia,Pistol,4.7%,2.0%,1.1,10.0,10.3%,2.2%,1.0,4.9,16.0%,2.5%,0.9,3.2
Sissela,Shuriken,5.3%,2.6%,0.9,10.2,11.4%,2.3%,1.0,5.0,18.0%,2.8%,1.0,3.2
Sissela,Throw,5.0%,1.0%,0.9,9.4,10.9%,0.7%,0.9,4.9,18.6%,0.8%,0.9,3.2
Xiukai,Spear,7.7%,3.2%,0.9,9.5,10.8%,2.2%,0.8,5.0,16.4%,2.8%,0.8,3.2
Xiukai,Dagger,7.8%,2.0%,0.9,9.0,12.1%,1.1%,0.9,4.8,18.3%,1.1%,0.8,3.2
Yuki,Two-Handed Sword,5.3%,7.0%,0.9,9.6,11.2%,6.5%,0.9,4.9,16.8%,5.9%,0.9,3.2
Yuki,Dual Sword,3.9%,3.6%,0.8,9.0,10.9%,5.1%,0.9,4.8,16.7%,4.5%,1.0,3.2
Zahir,Throw,7.1%,0.3%,0.9,10.4,12.4%,0.4%,1.0,4.8,17.6%,0.5%,1.0,3.1
Zahir,Shuriken,6.0%,1.4%,1.1,9.6,13.1%,1.8%,1.1,4.8,16.7%,1.8%,1.0,3.3
