Character,Weapon,Solo Win Rate,Solo Pick Rate,Solo Player Kill,Solo Average Rank,Duo Win Rate,Duo Pick Rate,Duo Player Kill,Duo Average Rank,Squad Win Rate,Squad Pick Rate,Squad Player Kill,Squad Average Rank
Base Win Rate,,5.9%,2.9%,1.0,9.4,14.3%,2.9%,1.1,4.7,18.7%,2.9%,1.0,3.2
Adriana,Throw,3.8%,1.1%,1.1,10.1,8.3%,1.6%,0.7,5.3,18.4%,3.6%,0.8,3.3
Aya,Pistol,4.6%,2.9%,1.1,10.2,8.4%,1.2%,0.9,5.0,16.7%,2.6%,1.2,3.1
Aya,Assault Rifle,11.8%,0.9%,0.9,8.3,21.5%,1.0%,1.4,4.6,23.2%,0.8%,1.1,2.9
Aya,Sniper,4.7%,2.8%,1.2,10.3,11.9%,2.0%,1.3,4.8,19.6%,3.0%,1.3,3.3
Chiara,Rapier,5.0%,4.1%,1.0,9.5,15.1%,4.5%,1.2,4.6,18.1%,2.9%,0.8,3.1
Emma,Shuriken,8.7%,2.4%,0.9,8.9,15.2%,2.1%,1.2,4.4,18.2%,1.5%,0.9,3.1
Fiora,Rapier,6.4%,2.4%,1.0,9.9,11.6%,2.6%,1.1,4.8,18.8%,1.1%,1.3,3.0
Fiora,Spear,5.3%,1.9%,0.9,8.8,7.0%,1.7%,1.3,4.5,12.8%,0.3%,1.0,3.2
Fiora,Two-Handed Sword,5.3%,0.7%,0.9,9.1,11.1%,0.1%,1.3,4.3,16.0%,0.1%,0.9,3.7
Hart,Guitar,5.7%,3.1%,1.0,10.5,17.7%,2.4%,1.3,4.5,16.1%,2.5%,1.1,3.3
Hyejin,Bow,5.5%,3.5%,1.0,10.2,16.7%,4.9%,0.9,4.3,21.2%,4.2%,0.9,3.2
Hyejin,Shuriken,7.2%,0.3%,1.1,8.3,22.7%,1.4%,1.4,4.5,20.8%,1.3%,0.9,3.2
Hyunwoo,Tonfa,8.7%,2.2%,1.0,8.1,14.3%,1.9%,0.9,4.8,16.0%,2.6%,0.7,3.4
Hyunwoo,Glove,8.9%,2.7%,0.8,7.6,14.8%,2.8%,1.1,4.5,14.9%,1.8%,0.8,3.5
Isol,Assault Rifle,6.7%,2.1%,1.0,9.6,12.5%,5.3%,1.3,4.8,15.7%,3.4%,1.3,3.2
Isol,Pistol,8.4%,2.1%,1.0,9.1,12.5%,3.2%,1.1,4.7,16.8%,2.2%,0.9,3.2
Jackie,Axe,6.1%,2.1%,0.9,8.0,10.0%,0.6%,1.1,4.4,15.0%,2.6%,1.1,3.2
Jackie,Two-Handed Sword,6.7%,0.7%,0.7,7.4,3.1%,0.3%,1.6,5.5,20.5%,0.2%,1.0,2.6
Jackie,Dual Sword,6.3%,2.3%,0.9,8.9,9.9%,1.0%,1.1,4.2,20.4%,1.7%,1.0,3.3
Jackie,Dagger,6.9%,2.7%,0.8,7.6,15.3%,1.3%,1.3,3.9,17.5%,2.1%,1.3,2.8
Lenox,Whip,4.8%,1.5%,0.9,9.3,15.5%,9.0%,1.0,4.7,19.3%,8.7%,0.9,3.3
Li Dailin,Glove,5.6%,5.0%,0.9,8.5,12.7%,3.8%,1.2,4.6,19.7%,3.3%,1.2,3.2
Li Dailin,Nunchaku,4.3%,4.5%,1.0,9.2,17.6%,4.1%,1.4,4.3,18.3%,4.1%,1.2,3.3
Magnus,Bat,8.8%,1.1%,0.8,7.3,12.5%,0.4%,0.8,4.1,19.1%,0.9%,0.9,3.2
Magnus,Hammer,4.7%,2.3%,0.8,8.2,10.2%,2.4%,1.0,4.9,21.2%,6.1%,0.9,3.2
Nadine,Bow,8.8%,1.8%,0.9,9.8,17.9%,2.4%,1.3,4.6,22.1%,3.3%,1.3,3.2
Nadine,Crossbow,7.7%,1.4%,1.0,9.6,20.7%,1.2%,1.5,4.3,12.9%,0.2%,1.1,3.5
Rozzi,Pistol,4.4%,5.7%,1.1,10.6,16.5%,8.1%,1.5,4.9,15.0%,5.6%,1.2,3.3
Shoichi,Dagger,3.7%,10.3%,1.1,10.1,15.1%,5.3%,1.3,4.7,21.9%,3.3%,1.4,3.2
Silvia,Pistol,4.8%,3.3%,1.2,10.3,12.4%,3.2%,1.1,4.9,19.3%,3.7%,1.0,3.2
Sissela,Shuriken,6.6%,2.6%,1.0,10.3,16.5%,1.9%,1.3,4.8,21.7%,4.4%,1.1,3.2
Sissela,Throw,6.6%,1.7%,1.0,9.3,21.4%,0.5%,1.1,4.0,24.4%,1.2%,1.1,3.0
Xiukai,Spear,8.5%,3.8%,0.9,9.5,12.7%,2.8%,0.9,4.8,16.1%,2.9%,0.7,3.3
Xiukai,Dagger,9.0%,3.0%,1.0,8.9,15.4%,0.6%,0.8,4.5,24.4%,1.1%,1.0,3.3
Yuki,Two-Handed Sword,4.9%,7.0%,0.8,9.4,11.7%,7.4%,0.8,4.8,16.4%,5.6%,0.8,3.3
Yuki,Dual Sword,3.1%,0.9%,0.7,9.6,13.3%,2.3%,0.9,4.4,21.5%,3.5%,1.0,3.2
Zahir,Throw,10.5%,0.4%,1.2,9.4,5.1%,0.4%,0.4,5.9,19.6%,0.3%,1.6,3.1
Zahir,Shuriken,5.5%,1.2%,1.0,9.7,16.0%,2.4%,1.2,4.6,17.0%,1.4%,1.0,3.4
