Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,6.2%,,13.0%,,18.1%,
Adriana,Throw,Smoke Bomb,3.6%,36.2%,13.1%,32.1%,23.9%,34.7%
Adriana,Throw,Incendiary Bomb,5.0%,40.3%,14.2%,55.7%,17.1%,50.5%
Adriana,Throw,David's Sling,-9999900.0%,2.2%,-9999900.0%,0.3%,-9999900.0%,1.2%
Adriana,Throw,Grenade of Antioch,5.7%,5.1%,-9999900.0%,1.0%,-9999900.0%,0.8%
Adriana,Throw,Ruthenium Marble,1.4%,5.4%,-9999900.0%,1.3%,-9999900.0%,2.1%
Aya,Assault Rifle,AK-12,-9999900.0%,0.7%,-9999900.0%,10.3%,-9999900.0%,27.4%
Aya,Assault Rifle,XCR,10.5%,73.6%,14.0%,57.8%,-9999900.0%,30.2%
Aya,Assault Rifle,Gatling Gun,1.8%,13.7%,-9999900.0%,18.4%,-9999900.0%,28.3%
Aya,Pistol,Devil's Marksman,4.3%,39.4%,12.0%,68.8%,18.8%,65.1%
Aya,Pistol,Elegance,5.6%,40.5%,13.5%,16.0%,15.9%,22.8%
Aya,Pistol,Electron Blaster,-9999900.0%,1.4%,-9999900.0%,1.6%,-9999900.0%,0.4%
Aya,Pistol,Magnum-Boa,-9999900.0%,0.8%,-9999900.0%,0.1%,-9999900.0%,0.8%
Aya,Pistol,Kelte,22.8%,7.8%,-9999900.0%,3.4%,-9999900.0%,4.0%
Aya,Sniper Rifle,Tac-50,1.2%,25.2%,-9999900.0%,7.3%,9.0%,11.7%
Aya,Sniper Rifle,Intervention,-9999900.0%,5.9%,-9999900.0%,1.7%,24.2%,12.5%
Aya,Sniper Rifle,NTW-20,2.7%,34.6%,7.8%,49.1%,10.7%,27.1%
Aya,Sniper Rifle,Polaris,-9999900.0%,14.0%,-9999900.0%,17.1%,13.8%,33.3%
Aya,Sniper Rifle,The Deadly Ray,-9999900.0%,13.1%,24.5%,18.5%,36.1%,9.5%
Cathy,Dagger,Carnwennan,3.0%,17.6%,9.9%,18.8%,15.4%,12.7%
Cathy,Dagger,Mount Slicer,-9999900.0%,0.7%,-9999900.0%,1.1%,-9999900.0%,1.7%
Cathy,Dagger,Vibroblade,1.8%,61.7%,7.5%,60.6%,15.6%,71.5%
Cathy,Dagger,Fragarach,21.5%,15.4%,44.8%,15.3%,51.7%,11.8%
Chiara,Rapier,Durendal Mk2,2.0%,31.6%,12.5%,7.8%,14.0%,9.8%
Chiara,Rapier,Mistilteinn,12.3%,18.5%,12.4%,18.7%,24.6%,49.4%
Chiara,Rapier,Volticletto,1.8%,27.0%,12.4%,47.3%,10.1%,23.0%
Chiara,Rapier,Meteor Claymore,10.1%,2.1%,-9999900.0%,0.5%,-9999900.0%,0.2%
Chiara,Rapier,Joyeuse,15.5%,11.8%,30.9%,11.8%,36.5%,5.5%
Emma,Shuriken,Cards of Tyranny,2.9%,4.2%,-9999900.0%,0.1%,-9999900.0%,2.8%
Emma,Shuriken,Mystic Jade Charm,11.5%,5.2%,14.6%,17.9%,16.3%,15.9%
Emma,Shuriken,Fuhma Shuriken,14.0%,13.4%,10.3%,6.6%,33.8%,19.9%
Emma,Shuriken,Frost Venom Dart,-9999900.0%,0.1%,-9999900.0%,0.2%,-9999900.0%,0.6%
Emma,Shuriken,Azure Dagger,-9999900.0%,0.3%,-9999900.0%,3.6%,-9999900.0%,2.7%
Emma,Shuriken,Flechette,-9999900.0%,2.5%,-9999900.0%,0.3%,-9999900.0%,3.6%
Emma,Shuriken,Wind and Fire Wheels,10.3%,63.1%,11.4%,61.1%,16.8%,40.7%
Emma,Shuriken,Death Rune,-9999900.0%,0.7%,-9999900.0%,1.0%,-9999900.0%,0.8%
Emma,Shuriken,Sudarsana,-9999900.0%,1.5%,-9999900.0%,0.9%,-9999900.0%,1.4%
Emma,Shuriken,Petal Torrent,-9999900.0%,0.5%,-9999900.0%,1.5%,-9999900.0%,1.7%
Fiora,Rapier,Durendal Mk2,3.1%,55.8%,9.7%,55.9%,12.9%,66.0%
Fiora,Rapier,Mistilteinn,-9999900.0%,0.0%,-9999900.0%,0.2%,-9999900.0%,0.2%
Fiora,Rapier,Volticletto,4.0%,13.3%,10.1%,15.0%,-9999900.0%,5.6%
Fiora,Rapier,Meteor Claymore,16.0%,5.9%,-9999900.0%,2.2%,-9999900.0%,3.6%
Fiora,Rapier,Joyeuse,18.6%,19.6%,31.9%,19.8%,34.8%,21.6%
Fiora,Spear,Gentian Silver Gun,0.5%,56.3%,5.5%,51.7%,-9999900.0%,24.5%
Fiora,Spear,Eighteen Foot Spear,-9999900.0%,2.4%,-9999900.0%,14.8%,-9999900.0%,49.0%
Fiora,Spear,Cosmic Bident,8.7%,17.1%,-9999900.0%,11.4%,-9999900.0%,6.1%
Fiora,Spear,Lance of Poseidon,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,1.0%
Fiora,Spear,Blazing Lance,-9999900.0%,5.8%,-9999900.0%,3.5%,-9999900.0%,4.1%
Fiora,Spear,Fangtian Huaji,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Fiora,Spear,Dragon Guandao,-9999900.0%,1.9%,-9999900.0%,0.6%,-9999900.0%,4.1%
Fiora,Spear,Spear of Longinus,26.4%,12.9%,-9999900.0%,12.3%,-9999900.0%,6.1%
Fiora,Two Handed Sword,Thuận Thiên,2.3%,43.8%,-9999900.0%,44.5%,17.8%,50.0%
Fiora,Two Handed Sword,Arondight,-9999900.0%,6.5%,-9999900.0%,3.6%,-9999900.0%,6.8%
Fiora,Two Handed Sword,Excalibur,-9999900.0%,2.1%,-9999900.0%,0.0%,-9999900.0%,0.7%
Fiora,Two Handed Sword,Plasma Sword,-9999900.0%,3.1%,-9999900.0%,1.8%,-9999900.0%,8.9%
Fiora,Two Handed Sword,Laevateinn,14.7%,23.3%,-9999900.0%,17.3%,-9999900.0%,24.7%
Fiora,Two Handed Sword,Monohoshizao,-9999900.0%,3.8%,-9999900.0%,0.9%,-9999900.0%,7.5%
Fiora,Two Handed Sword,Hovud,-9999900.0%,4.5%,-9999900.0%,22.7%,-9999900.0%,0.0%
Fiora,Two Handed Sword,Dáinsleif,-9999900.0%,9.2%,-9999900.0%,0.9%,-9999900.0%,0.7%
