Character,Weapon,Solo Win Rate,Solo Pick Rate,Solo Player Kill,Solo Average Rank,Solo MMR Efficiency,Duo Win Rate,Duo Pick Rate,Duo Player Kill,Duo Average Rank,Duo MMR Efficiency,Squad Win Rate,Squad Pick Rate,Squad Player Kill,Squad Average Rank,Squad MMR Efficiency
Base Win Rate,,5.5%,2.1%,0.9,9.5,11.1%,2.1%,1.0,5.1,16.6%,2.1%,1.0,3.6
Adriana,Throw,3.7%,1.4%,0.9,9.3,11.3%,2.2%,0.8,4.9,17.0%,3.4%,0.8,3.5
Adela,Rapier,4.3%,1.1%,0.9,9.8,11.5%,1.4%,1.0,5.1,17.5%,1.7%,1.1,3.6
Alex,4 Types,7.2%,3.1%,0.8,8.7,13.4%,3.6%,0.9,4.8,17.8%,4.7%,0.8,3.5
Aya,Pistol,4.3%,1.9%,1.0,10.3,10.6%,1.6%,1.1,5.2,16.6%,1.9%,1.1,3.6
Aya,Assault Rifle,8.7%,2.6%,1.0,9.5,12.8%,2.3%,1.1,5.1,18.9%,2.9%,1.2,3.6
Aya,Sniper,4.5%,1.0%,1.1,10.1,7.8%,1.0%,1.0,5.3,14.5%,1.3%,1.0,3.7
Barbara,Bat,7.1%,1.1%,1.0,9.9,11.3%,1.2%,0.9,5.1,16.1%,1.2%,0.8,3.7
Bernice,Sniper,5.8%,2.4%,1.1,9.9,13.3%,3.6%,1.2,5.0,18.2%,3.4%,1.2,3.6
Cathy,Dagger,4.1%,3.6%,1.0,9.5,11.1%,3.3%,1.0,4.9,17.8%,3.0%,1.0,3.5
Chiara,Rapier,3.8%,3.4%,1.0,9.2,10.6%,3.0%,0.9,5.1,16.6%,2.4%,0.8,3.7
Eleven,Hammer,1.6%,0.5%,0.4,10.8,4.1%,0.8%,0.3,5.8,11.1%,1.3%,0.4,3.8
Emma,Shuriken,5.5%,1.8%,0.6,9.1,11.2%,1.5%,0.8,5.0,13.6%,1.5%,0.7,3.7
Fiora,Rapier,7.7%,4.1%,1.1,9.3,11.9%,2.3%,1.2,5.0,18.8%,2.0%,1.3,3.5
Fiora,Spear,8.3%,0.8%,1.1,9.1,12.0%,0.5%,1.0,5.0,19.3%,0.3%,1.0,3.5
