Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.5%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,4.0%,16.8%,17.0%,14.1%,19.5%,13.0%
Adriana,Throw,Incendiary Bomb,3.9%,70.1%,10.8%,71.3%,17.1%,75.6%
Adriana,Throw,David's Sling,2.5%,1.0%,-9999900.0%,0.8%,-9999900.0%,0.4%
Adriana,Throw,Grenade of Antioch,3.4%,3.3%,14.9%,1.1%,17.9%,1.4%
Adriana,Throw,Ruthenium Marble,5.3%,3.6%,13.2%,7.5%,19.1%,6.1%
Adela,Rapier,Durendal Mk2,0.0%,0.7%,5.3%,2.0%,-9999900.0%,0.6%
Adela,Rapier,Mistilteinn,5.4%,31.5%,13.1%,39.8%,19.9%,51.8%
Adela,Rapier,Volticletto,2.9%,26.2%,11.0%,15.9%,20.1%,15.8%
Adela,Rapier,Meteor Claymore,-9999900.0%,0.2%,-9999900.0%,0.3%,-9999900.0%,0.1%
Adela,Rapier,Joyeuse,18.8%,1.7%,-9999900.0%,1.1%,-9999900.0%,0.9%
Adela,Rapier,Red Panther,5.4%,26.5%,13.7%,28.2%,17.0%,19.5%
Alex,Two-Handed Sword,Thuận Thiên,1.0%,1.1%,14.8%,2.4%,20.5%,6.6%
Alex,Two-Handed Sword,Arondight,1.6%,1.1%,6.1%,4.1%,14.1%,4.2%
Alex,Two-Handed Sword,Excalibur,4.4%,0.3%,14.9%,3.8%,18.4%,3.9%
Alex,Two-Handed Sword,Plasma Sword,0.0%,3.0%,1.9%,3.6%,5.6%,3.1%
Alex,Two-Handed Sword,Aurora Longsword,3.5%,3.4%,15.5%,3.8%,20.1%,3.5%
Alex,Two-Handed Sword,Laevateinn,17.0%,1.1%,27.4%,2.3%,31.5%,1.6%
Alex,Two-Handed Sword,Monohoshizao,9.8%,51.0%,17.0%,35.7%,21.4%,24.2%
Alex,Two-Handed Sword,Hovud,1.8%,0.6%,18.9%,1.5%,14.5%,1.8%
Alex,Two-Handed Sword,Dáinsleif,35.9%,2.0%,54.3%,2.3%,46.4%,1.4%
Alex,Pistol,Devil's Marksman,0.0%,0.3%,11.9%,0.6%,-9999900.0%,0.3%
Alex,Pistol,Elegance,1.0%,1.2%,3.8%,0.7%,14.3%,0.7%
